campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name
23851420073650412,PROSPECTING | Broad | FR,23851420073650501,Broad 18-45 | FR | Advantage+,23851420073650601,V1 - Carrousel Nouvelle Collection
23851420073650412,PROSPECTING | Broad | FR,23851420073650501,Broad 18-45 | FR | Advantage+,23851420073650602,V2 - Video Lookbook Ete
23851420073650412,PROSPECTING | Broad | FR,23851420073650502,Broad 25-55 | FR,23851420073650603,V3 - Statisch Trench Marais
23851420073650413,PROSPECTING | Interesses Mode | FR,23851420073650503,"Int: Zara, Sezane, Maje | FR",23851420073650604,V4 - UGC Robe Saint-Germain
23851420073650413,PROSPECTING | Interesses Mode | FR,23851420073650503,"Int: Zara, Sezane, Maje | FR",23851420073650605,V5 - Carrousel Best Sellers
23851420073650413,PROSPECTING | Interesses Mode | FR,23851420073650504,Int: Mode Parisienne | FR,23851420073650606,V6 - Video Styling Trois Looks
23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,23851420073650505,LAL 1% Purchasers | FR,23851420073650607,V7 - UGC Sac Bastille
23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,23851420073650505,LAL 1% Purchasers | FR,23851420073650608,V8 - Statisch Cachemire
23851420073650415,RETARGETING | ATC 14d | FR,23851420073650506,ATC 14d excl. Purchasers,23851420073650609,V9 - Dynamic Product Ads
23851420073650415,RETARGETING | ATC 14d | FR,23851420073650506,ATC 14d excl. Purchasers,23851420073650610,V10 - Reminder Livraison Offerte
