date,campaign_id,campaign_name,spend,impressions,clicks
2026-07-01,23851420073650412,PROSPECTING | Broad | FR,67.19,6632,68
2026-07-02,23851420073650412,PROSPECTING | Broad | FR,85.24,4713,73
2026-07-03,23851420073650412,PROSPECTING | Broad | FR,82.64,5881,73
2026-07-04,23851420073650412,PROSPECTING | Broad | FR,107.72,4806,95
2026-07-05,23851420073650412,PROSPECTING | Broad | FR,84.49,4534,71
2026-07-06,23851420073650412,PROSPECTING | Broad | FR,80.64,4661,71
2026-07-07,23851420073650412,PROSPECTING | Broad | FR,93.23,4487,86
2026-07-08,23851420073650412,PROSPECTING | Broad | FR,74.52,6105,67
2026-07-09,23851420073650412,PROSPECTING | Broad | FR,84.82,3546,72
2026-07-10,23851420073650412,PROSPECTING | Broad | FR,92.54,7221,93
2026-07-11,23851420073650412,PROSPECTING | Broad | FR,106.16,7990,105
2026-07-12,23851420073650412,PROSPECTING | Broad | FR,102.72,9757,109
2026-07-13,23851420073650412,PROSPECTING | Broad | FR,72.39,3676,70
2026-07-14,23851420073650412,PROSPECTING | Broad | FR,90.86,8698,92
2026-07-15,23851420073650412,PROSPECTING | Broad | FR,77.13,7196,71
2026-07-16,23851420073650412,PROSPECTING | Broad | FR,74.17,4795,70
2026-07-17,23851420073650412,PROSPECTING | Broad | FR,81.36,4770,85
2026-07-18,23851420073650412,PROSPECTING | Broad | FR,86.14,7808,86
2026-07-19,23851420073650412,PROSPECTING | Broad | FR,96.97,5233,102
2026-07-20,23851420073650412,PROSPECTING | Broad | FR,82.29,7623,72
2026-07-21,23851420073650412,PROSPECTING | Broad | FR,66.53,5318,57
2026-07-22,23851420073650412,PROSPECTING | Broad | FR,85.41,4040,74
2026-07-23,23851420073650412,PROSPECTING | Broad | FR,65.95,4354,69
2026-07-24,23851420073650412,PROSPECTING | Broad | FR,90.36,4615,83
2026-07-25,23851420073650412,PROSPECTING | Broad | FR,105.40,6050,109
2026-07-26,23851420073650412,PROSPECTING | Broad | FR,100.91,6955,94
2026-07-27,23851420073650412,PROSPECTING | Broad | FR,67.95,4355,57
2026-07-28,23851420073650412,PROSPECTING | Broad | FR,92.20,5953,94
2026-07-29,23851420073650412,PROSPECTING | Broad | FR,90.88,8184,98
2026-07-30,23851420073650412,PROSPECTING | Broad | FR,73.38,6209,71
2026-07-01,23851420073650413,PROSPECTING | Interesses Mode | FR,68.07,4331,71
2026-07-02,23851420073650413,PROSPECTING | Interesses Mode | FR,69.45,9573,88
2026-07-03,23851420073650413,PROSPECTING | Interesses Mode | FR,58.04,3191,63
2026-07-04,23851420073650413,PROSPECTING | Interesses Mode | FR,76.68,9991,95
2026-07-05,23851420073650413,PROSPECTING | Interesses Mode | FR,69.53,3981,80
2026-07-06,23851420073650413,PROSPECTING | Interesses Mode | FR,65.37,3486,68
2026-07-07,23851420073650413,PROSPECTING | Interesses Mode | FR,56.44,2988,60
2026-07-08,23851420073650413,PROSPECTING | Interesses Mode | FR,65.42,3734,72
2026-07-09,23851420073650413,PROSPECTING | Interesses Mode | FR,60.25,5078,74
2026-07-10,23851420073650413,PROSPECTING | Interesses Mode | FR,69.28,6461,82
2026-07-11,23851420073650413,PROSPECTING | Interesses Mode | FR,79.40,5517,82
2026-07-12,23851420073650413,PROSPECTING | Interesses Mode | FR,73.91,5817,94
2026-07-13,23851420073650413,PROSPECTING | Interesses Mode | FR,60.26,3817,67
2026-07-14,23851420073650413,PROSPECTING | Interesses Mode | FR,58.26,3388,68
2026-07-15,23851420073650413,PROSPECTING | Interesses Mode | FR,62.02,5694,74
2026-07-16,23851420073650413,PROSPECTING | Interesses Mode | FR,55.50,3090,57
2026-07-17,23851420073650413,PROSPECTING | Interesses Mode | FR,56.37,3486,58
2026-07-18,23851420073650413,PROSPECTING | Interesses Mode | FR,77.06,7271,94
2026-07-19,23851420073650413,PROSPECTING | Interesses Mode | FR,75.05,5074,92
2026-07-20,23851420073650413,PROSPECTING | Interesses Mode | FR,66.53,5796,80
2026-07-21,23851420073650413,PROSPECTING | Interesses Mode | FR,57.08,5225,70
2026-07-22,23851420073650413,PROSPECTING | Interesses Mode | FR,57.64,3926,60
2026-07-23,23851420073650413,PROSPECTING | Interesses Mode | FR,55.95,5261,68
2026-07-24,23851420073650413,PROSPECTING | Interesses Mode | FR,50.44,4622,62
2026-07-25,23851420073650413,PROSPECTING | Interesses Mode | FR,83.04,5697,85
2026-07-26,23851420073650413,PROSPECTING | Interesses Mode | FR,61.66,6851,76
2026-07-27,23851420073650413,PROSPECTING | Interesses Mode | FR,59.43,6502,66
2026-07-28,23851420073650413,PROSPECTING | Interesses Mode | FR,62.89,3758,64
2026-07-29,23851420073650413,PROSPECTING | Interesses Mode | FR,69.09,3447,71
2026-07-30,23851420073650413,PROSPECTING | Interesses Mode | FR,57.02,4636,60
2026-07-01,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,43.03,2961,62
2026-07-02,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,37.65,3613,52
2026-07-03,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,35.95,4561,43
2026-07-04,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,53.23,5595,72
2026-07-05,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,53.94,5490,72
2026-07-06,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,46.54,5984,65
2026-07-07,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,38.29,2897,52
2026-07-08,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,43.32,3852,55
2026-07-09,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,36.13,2244,43
2026-07-10,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,36.81,2038,42
2026-07-11,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,39.15,3131,46
2026-07-12,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,53.40,6255,73
2026-07-13,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,40.33,2619,53
2026-07-14,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,37.25,3980,47
2026-07-15,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,36.52,4025,46
2026-07-16,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,40.26,4203,57
2026-07-17,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,37.69,2305,48
